"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14759-9642","PG","Russell","Westbrook","49.22909090909091","55","10900","CLE@OKC","OKC","CLE","","","",""
"14759-9646","SF","Kevin","Durant","45.17083333333333","48","10300","CLE@OKC","OKC","CLE","","","",""
"14759-9488","SF","LeBron","James","44.53076923076923","52","10100","CLE@OKC","CLE","OKC","","","",""
"14759-15755","PF","Anthony","Davis","43.25","48","9900","NO@DET","NO","DET","","","",""
"14759-15557","C","Andre","Drummond","40.2","55","8400","NO@DET","DET","NO","","","",""
"14759-14559","PG","Isaiah","Thomas","34.89107142857143","56","8100","BOS@DEN","BOS","DEN","","","",""
"14759-9663","PG","Jrue","Holiday","28.23125","48","7800","NO@DET","NO","DET","","","",""
"14759-14513","SF","Kawhi","Leonard","35.86666666666667","51","7700","SA@PHO","SA","PHO","GTD","Calf","",""
"14759-14498","PG","Kyrie","Irving","29.51851851851852","27","7700","CLE@OKC","CLE","OKC","","","",""
"14759-9637","SF","Danilo","Gallinari","31.05918367346939","49","7300","BOS@DEN","DEN","BOS","","","",""
"14759-9874","PF","Kevin","Love","32.87307692307692","52","7200","CLE@OKC","CLE","OKC","","","",""
"14759-9688","PF","LaMarcus","Aldridge","30.376470588235296","51","7200","SA@PHO","SA","PHO","","","",""
"14759-9692","SG","Tyreke","Evans","31.471999999999998","25","6700","NO@DET","NO","DET","O","Knee","",""
"14759-14523","PG","Reggie","Jackson","31.46481481481481","54","6500","NO@DET","DET","NO","","","",""
"14759-14506","PG","Brandon","Knight","31.592857142857145","42","6500","SA@PHO","PHO","SA","O","Groin","",""
"14759-17333","SG","Will","Barton","27.51818181818182","55","6200","BOS@DEN","DEN","BOS","","","",""
"14759-16008","PF","Jared","Sullinger","25.447272727272725","55","6000","BOS@DEN","BOS","DEN","","","",""
"14759-14521","PF","Kenneth","Faried","26.239583333333332","48","6000","BOS@DEN","DEN","BOS","","","",""
"14759-15800","SF","Jae","Crowder","26.307142857142857","56","5900","BOS@DEN","BOS","DEN","","","",""
"14759-9957","PF","Serge","Ibaka","25.8","55","5700","CLE@OKC","OKC","CLE","","","",""
"14759-9710","C","Tim","Duncan","24.9875","40","5700","SA@PHO","SA","PHO","","","",""
"14759-12359","SF","Evan","Turner","22.271428571428572","56","5600","BOS@DEN","BOS","DEN","","","",""
"14759-12334","SG","Avery","Bradley","23.47843137254902","51","5600","BOS@DEN","BOS","DEN","","","",""
"14759-63124","PG","Emmanuel","Mudiay","23.700000000000003","41","5500","BOS@DEN","DEN","BOS","","","",""
"14759-14512","SF","Marcus","Morris","24.064814814814813","54","5500","NO@DET","DET","NO","","","",""
"14759-14518","SF","Tobias","Harris","26.498","50","5500","NO@DET","DET","NO","","","",""
"14759-9772","PF","Ryan","Anderson","25.951923076923077","52","5400","NO@DET","NO","DET","","","",""
"14759-15636","SG","Kentavious","Caldwell-Pope","23.72352941176471","51","5300","NO@DET","DET","NO","","","",""
"14759-23670","PG","Marcus","Smart","22.060000000000002","35","5200","BOS@DEN","BOS","DEN","","","",""
"14759-14516","C","Enes","Kanter","22.01636363636364","55","5200","CLE@OKC","OKC","CLE","","","",""
"14759-23824","PG","Archie","Goodwin","15.108571428571427","35","5200","SA@PHO","PHO","SA","","","",""
"14759-55062","C","Nikola","Jokic","20.798113207547168","53","5200","BOS@DEN","DEN","BOS","","","",""
"14759-58460","SG","Devin","Booker","15.66326530612245","49","5200","SA@PHO","PHO","SA","","","",""
"14759-9702","PG","Tony","Parker","23.22","50","5200","SA@PHO","SA","PHO","","","",""
"14759-9506","SG","J.R.","Smith","20.546938775510203","49","5100","CLE@OKC","CLE","OKC","","","",""
"14759-14527","PG","Norris","Cole","19.06756756756757","37","5100","NO@DET","NO","DET","","","",""
"14759-14501","PF","Tristan","Thompson","21.30188679245283","53","5100","CLE@OKC","CLE","OKC","","","",""
"14759-9556","SG","Eric","Gordon","22.40487804878049","41","5000","NO@DET","NO","DET","O","Finger","",""
"14759-23407","SF","P.J.","Tucker","18.521818181818183","55","4800","SA@PHO","PHO","SA","","","",""
"14759-58350","SF","Stanley","Johnson","16.614545454545453","55","4700","NO@DET","DET","NO","","","",""
"14759-24544","SG","Gary","Harris","18.851020408163265","49","4700","BOS@DEN","DEN","BOS","","","",""
"14759-9652","PG","Jameer","Nelson","18.810526315789474","38","4700","BOS@DEN","DEN","BOS","GTD","Wrist","",""
