"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14825-9642","PG","Russell","Westbrook","49.440677966101696","59","11000","OKC@SAC","OKC","SAC","","","",""
"14825-12362","C","DeMarcus","Cousins","47.09583333333333","48","10900","OKC@SAC","SAC","OKC","","","",""
"14825-9644","SG","James","Harden","46.53559322033898","59","10700","HOU@MIL","HOU","MIL","","","",""
"14825-9646","SF","Kevin","Durant","45.60576923076923","52","10600","OKC@SAC","OKC","SAC","","","",""
"14825-9623","PG","Chris","Paul","40.8811320754717","53","10200","BKN@LAC","LAC","BKN","","","",""
"14825-9488","SF","LeBron","James","44.29642857142857","56","9800","IND@CLE","CLE","IND","","","",""
"14825-12332","PG","John","Wall","41.86896551724138","58","9800","PHI@WAS","WAS","PHI","","","",""
"14825-9455","PG","Rajon","Rondo","37.90555555555556","54","9000","OKC@SAC","SAC","OKC","GTD","Hand","",""
"14825-12341","SF","Paul","George","38.74576271186441","59","9000","IND@CLE","IND","CLE","","","",""
"14825-9621","C","Brook","Lopez","35.85254237288136","59","8400","BKN@LAC","BKN","LAC","","","",""
"14825-9561","C","DeAndre","Jordan","35.06428571428571","56","8200","BKN@LAC","LAC","BKN","","","",""
"14825-9660","C","Dwight","Howard","33.88333333333333","48","8000","HOU@MIL","HOU","MIL","","","",""
"14825-40199","SF","Giannis","Antetokounmpo","31.596491228070175","57","8000","HOU@MIL","MIL","HOU","","","",""
"14825-14559","PG","Isaiah","Thomas","34.87166666666667","60","7900","UTA@BOS","BOS","UTA","","","",""
"14825-16261","SG","Khris","Middleton","29.854237288135593","59","7700","HOU@MIL","MIL","HOU","","","",""
"14825-12337","C","Greg","Monroe","33.435087719298245","57","7700","HOU@MIL","MIL","HOU","","","",""
"14825-12351","PF","Derrick","Favors","33.00243902439024","41","7600","UTA@BOS","UTA","BOS","","","",""
"14825-12366","SF","Gordon","Hayward","31.948275862068964","58","7400","UTA@BOS","UTA","BOS","","","",""
"14825-9874","PF","Kevin","Love","32.71052631578947","57","7300","IND@CLE","CLE","IND","","","",""
"14825-14498","PG","Kyrie","Irving","29.1","32","7000","IND@CLE","CLE","IND","","","",""
"14825-9577","SF","Rudy","Gay","30.764","50","7000","OKC@SAC","SAC","OKC","GTD","Shoulder","",""
"14825-9575","PG","Mike","Conley","29.51153846153846","52","7000","MEM@DEN","MEM","DEN","","","",""
"14825-9666","PF","Thaddeus","Young","30.671186440677964","59","7000","BKN@LAC","BKN","LAC","","","",""
"14825-9661","C","Marcin","Gortat","30.271153846153844","52","6900","PHI@WAS","WAS","PHI","","","",""
"14825-40203","C","Rudy","Gobert","29.936842105263157","38","6900","UTA@BOS","UTA","BOS","","","",""
"14825-9637","SF","Danilo","Gallinari","30.579245283018867","53","6700","MEM@DEN","DEN","MEM","O","Ankle","",""
"14825-23825","PF","Nerlens","Noel","26.875","52","6500","PHI@WAS","PHI","WAS","","","",""
"14825-9579","PF","Zach","Randolph","26.513207547169813","53","6500","MEM@DEN","MEM","DEN","","","",""
"14825-12511","PG","Ishmael","Smith","26.35925925925926","54","6400","PHI@WAS","PHI","WAS","","","",""
"14825-15800","SF","Jae","Crowder","26.753333333333334","60","6300","UTA@BOS","BOS","UTA","","","",""
"14825-58083","C","Jahlil","Okafor","28.58679245283019","53","6300","PHI@WAS","PHI","WAS","","","",""
"14825-16008","PF","Jared","Sullinger","25.94237288135593","59","6200","UTA@BOS","BOS","UTA","","","",""
"14825-9526","SG","Monta","Ellis","27.03050847457627","59","6100","IND@CLE","IND","CLE","","","",""
"14825-9538","SF","Trevor","Ariza","24.317241379310346","58","6100","HOU@MIL","HOU","MIL","","","",""
"14825-9957","PF","Serge","Ibaka","26.096610169491527","59","6000","OKC@SAC","OKC","SAC","","","",""
"14825-17333","SG","Will","Barton","27.40169491525424","59","6000","MEM@DEN","DEN","MEM","","","",""
"14825-14521","PF","Kenneth","Faried","26.23461538461538","52","6000","MEM@DEN","DEN","MEM","","","",""
"14825-15904","SG","Rodney","Hood","23.599999999999998","56","5900","UTA@BOS","UTA","BOS","","","",""
"14825-12359","SF","Evan","Turner","22.796666666666667","60","5800","UTA@BOS","BOS","UTA","","","",""
"14825-9703","PG","George","Hill","24.365384615384617","52","5800","IND@CLE","IND","CLE","","","",""
"14825-16201","PG","Michael","Carter-Williams","27.124074074074073","54","5700","HOU@MIL","MIL","HOU","","","",""
"14825-58253","PF","Myles","Turner","20.35135135135135","37","5600","IND@CLE","IND","CLE","","","",""
"14825-42550","PF","Jabari","Parker","21.656603773584905","53","5600","HOU@MIL","MIL","HOU","","","",""
"14825-15595","SG","Brad","Beal","26.754054054054052","37","5500","PHI@WAS","WAS","PHI","","","",""
"14825-55062","C","Nikola","Jokic","21.473684210526315","57","5500","MEM@DEN","DEN","MEM","","","",""
"14825-12334","SG","Avery","Bradley","23.445454545454545","55","5400","UTA@BOS","BOS","UTA","","","",""
"14825-9648","SF","Jeff","Green","21.256140350877192","57","5400","BKN@LAC","LAC","BKN","","","",""
"14825-63124","PG","Emmanuel","Mudiay","23.457777777777775","45","5200","MEM@DEN","DEN","MEM","","","",""
"14825-23670","PG","Marcus","Smart","22.23589743589744","39","5200","UTA@BOS","BOS","UTA","","","",""
"14825-14511","PF","Markieff","Morris","21.07906976744186","43","5200","PHI@WAS","WAS","PHI","","","",""
"14825-9624","PG","Darren","Collison","22.298076923076923","52","5200","OKC@SAC","SAC","OKC","","","",""
"14825-15628","SF","Otto","Porter","23.8156862745098","51","5000","PHI@WAS","WAS","PHI","","","",""
"14825-9953","C","Ian","Mahinmi","21.936","50","5000","IND@CLE","IND","CLE","","","",""
"14825-9448","SG","Jamal","Crawford","19.17413793103448","58","5000","BKN@LAC","LAC","BKN","","","",""
"14825-9657","SF","Matt","Barnes","20.355555555555558","54","5000","MEM@DEN","MEM","DEN","","","",""
"14825-20491","SF","Robert","Covington","22.37","50","5000","PHI@WAS","PHI","WAS","","","",""
"14825-14501","PF","Tristan","Thompson","21.01551724137931","58","4900","IND@CLE","CLE","IND","","","",""
"14825-9655","SG","J.J.","Redick","20.975925925925928","54","4900","BKN@LAC","LAC","BKN","","","",""
"14825-24544","SG","Gary","Harris","19.077358490566038","53","4800","MEM@DEN","DEN","MEM","","","",""
"14825-9506","SG","J.R.","Smith","20.38148148148148","54","4800","IND@CLE","CLE","IND","","","",""
"14825-14510","SG","Alec","Burks","21.446428571428573","28","4800","UTA@BOS","UTA","BOS","O","Ankle","",""
"14825-12832","PG","Donald","Sloan","16.400000000000002","39","4800","BKN@LAC","BKN","LAC","","","",""
"14825-12474","PG","Patrick","Beverley","19.03125","48","4800","HOU@MIL","HOU","MIL","","","",""
"14825-9677","PF","Jared","Dudley","18.45614035087719","57","4800","PHI@WAS","WAS","PHI","","","",""
"14825-9960","SF","Omri","Casspi","22.190196078431374","51","4700","OKC@SAC","SAC","OKC","","","",""
"14825-14516","C","Enes","Kanter","21.62203389830508","59","4700","OKC@SAC","OKC","SAC","","","",""
"14825-9652","PG","Jameer","Nelson","18.810526315789474","38","4700","MEM@DEN","DEN","MEM","GTD","Wrist","",""
"14825-23831","PF","Jerami","Grant","20.522807017543858","57","4600","PHI@WAS","PHI","WAS","","","",""
"14825-9583","PG","Mario","Chalmers","19.587272727272726","55","4500","MEM@DEN","MEM","DEN","","","",""
"14825-22541","C","Kelly","Olynyk","19.211111111111112","54","4400","UTA@BOS","BOS","UTA","O","Shoulder","",""
"14825-23169","C","Steven","Adams","18.371929824561406","57","4400","OKC@SAC","OKC","SAC","","","",""
"14825-23823","PF","Willie","Cauley-Stein","16.632558139534886","43","4300","OKC@SAC","SAC","OKC","","","",""
"14825-9512","PF","Nene","Hilario","17.82857142857143","35","4300","PHI@WAS","WAS","PHI","","","",""
"14825-12348","SF","Wesley","Johnson","14.398275862068965","58","4300","BKN@LAC","LAC","BKN","","","",""
"14825-9810","PG","Jerryd","Bayless","19.547222222222224","36","4100","HOU@MIL","MIL","HOU","GTD","Knee","",""
"14825-9458","SG","Tony","Allen","16.480851063829785","47","4100","MEM@DEN","MEM","DEN","GTD","Knee","",""
"14825-9514","SG","Rodney","Stuckey","17.885714285714286","35","4100","IND@CLE","IND","CLE","","","",""
"14825-9752","C","Jordan","Hill","19.823636363636364","55","4000","IND@CLE","IND","CLE","","","",""
"14825-15405","PF","JaMychal","Green","11.87037037037037","54","4000","MEM@DEN","MEM","DEN","","","",""
"14825-42148","SF","Rondae","Hollis-Jefferson","17.24736842105263","19","4000","BKN@LAC","BKN","LAC","O","Ankle","",""
"14825-55059","PF","Clint","Capela","19.445454545454545","55","4000","HOU@MIL","HOU","MIL","GTD","Ankle","",""
"14825-9862","PF","Amir","Johnson","19.63859649122807","57","3900","UTA@BOS","BOS","UTA","","","",""
"14825-9956","SG","Wayne","Ellington","12.425862068965518","58","3800","BKN@LAC","BKN","LAC","","","",""
"14825-12369","SG","Lance","Stephenson","10.951063829787236","47","3800","MEM@DEN","MEM","DEN","","","",""
"14825-9605","PG","Ramon","Sessions","17.158620689655173","58","3800","PHI@WAS","WAS","PHI","","","",""
"14825-9606","SF","Corey","Brewer","14.433898305084746","59","3800","HOU@MIL","HOU","MIL","","","",""
"14825-9654","SF","Vince","Carter","9.7775","40","3800","MEM@DEN","MEM","DEN","","","",""
"14825-15952","PF","John","Henson","16.245238095238093","42","3800","HOU@MIL","MIL","HOU","O","Back","",""
"14825-20064","PG","Matthew","Dellavedova","17.992307692307694","52","3700","IND@CLE","CLE","IND","","","",""
"14825-16220","SG","Dion","Waiters","16.740677966101696","59","3700","OKC@SAC","OKC","SAC","","","",""
"14825-9935","C","Brandan","Wright","14.466666666666667","12","3700","MEM@DEN","MEM","DEN","O","Knee","",""
"14825-9466","PG","D.J.","Augustin","9.812820512820512","39","3700","MEM@DEN","DEN","MEM","","","",""
"14825-9580","PF","Darrell","Arthur","15.784313725490197","51","3700","MEM@DEN","DEN","MEM","","","",""
"14825-55057","C","Jusuf","Nurkic","14.95263157894737","19","3700","MEM@DEN","DEN","MEM","","","",""
"14825-9496","PG","Jason","Terry","10.279591836734694","49","3600","HOU@MIL","HOU","MIL","","","",""
"14825-15548","SG","Andre","Roberson","12.372916666666667","48","3600","OKC@SAC","OKC","SAC","","","",""
"14825-16026","SG","Markel","Brown","7.8575","40","3600","BKN@LAC","BKN","LAC","","","",""
"14825-18393","PG","T.J.","McConnell","18.108620689655172","58","3600","PHI@WAS","PHI","WAS","","","",""
"14825-15591","C","Miles","Plumlee","9.094736842105263","38","3600","HOU@MIL","MIL","HOU","","","",""
"14825-12344","PG","Greivis","Vasquez","15.55625","16","3600","HOU@MIL","MIL","HOU","O","Ankle","",""
"14825-15592","PG","Austin","Rivers","13.039130434782608","46","3600","BKN@LAC","LAC","BKN","O","Hand","",""
"14825-15583","SG","Seth","Curry","6.314285714285715","28","3600","OKC@SAC","SAC","OKC","GTD","Foot","",""
"14825-9574","SG","O.J.","Mayo","17.25277777777778","36","3600","HOU@MIL","MIL","HOU","","","",""
"14825-9678","PF","Channing","Frye","11.864583333333334","48","3600","IND@CLE","CLE","IND","","","",""
"14825-15782","PG","Russ","Smith","3.6866666666666665","15","3500","MEM@DEN","MEM","DEN","","","",""
"14825-59318","SF","Joe","Ingles","7.729824561403509","57","3500","UTA@BOS","UTA","BOS","","","",""
"14825-15792","C","Johnny","O'Bryant","7.6259999999999994","50","3500","HOU@MIL","MIL","HOU","","","",""
"14825-9785","SF","James","Jones","5.462162162162162","37","3500","IND@CLE","CLE","IND","","","",""
"14825-20907","C","Shayne","Whittington","3.15","4","3500","IND@CLE","IND","CLE","","","",""
"14825-9736","SF","Caron","Butler","5.522222222222222","9","3500","OKC@SAC","SAC","OKC","","","",""
"14825-9734","SF","Mike","Miller","4.21","40","3500","MEM@DEN","DEN","MEM","","","",""
"14825-9733","SG","Randy","Foye","11.560344827586206","58","3500","OKC@SAC","OKC","SAC","","","",""
"14825-9731","C","Kosta","Koufos","15.617857142857142","56","3500","OKC@SAC","SAC","OKC","","","",""
"14825-15757","PF","Terrence","Jones","16.889583333333334","48","3500","HOU@MIL","HOU","MIL","","","",""
"14825-34615","PF","Willie","Reed","8.75","30","3500","BKN@LAC","BKN","LAC","","","",""
"14825-15843","PG","Trey","Burke","17.327272727272728","55","3500","UTA@BOS","UTA","BOS","","","",""
"14825-15858","PF","Branden","Dawson","2.533333333333333","3","3500","BKN@LAC","LAC","BKN","","","",""
"14825-19456","PG","Isaiah","Canaan","16.070689655172416","58","3500","PHI@WAS","PHI","WAS","","","",""
"14825-9796","SF","Luc Richard","Mbah a Moute","7.326785714285713","56","3500","BKN@LAC","LAC","BKN","","","",""
"14825-16375","SG","Jarell","Eddie","3.644444444444444","18","3500","PHI@WAS","WAS","PHI","","","",""
"14825-16378","SG","Erick","Green","2.966666666666667","9","3500","UTA@BOS","UTA","BOS","","","",""
"14825-15834","PG","Shane","Larkin","15.95090909090909","55","3500","BKN@LAC","BKN","LAC","","","",""
"14825-9895","SF","Steve","Novak","2.9","10","3500","HOU@MIL","MIL","HOU","O","Knee","",""
"14825-17491","SF","James","Ennis","2.9923076923076923","13","3500","MEM@DEN","MEM","DEN","","","",""
"14825-23447","PF","Richaun","Holmes","11.455813953488372","43","3500","PHI@WAS","PHI","WAS","","","",""
"14825-16411","SG","C.J.","Wilcox","2.853846153846154","13","3500","BKN@LAC","LAC","BKN","","","",""
"14825-15631","SF","Hollis","Thompson","14.719642857142857","56","3500","PHI@WAS","PHI","WAS","GTD","Illness","",""
"14825-16191","SF","Josh","Huestis","0","0","3500","OKC@SAC","OKC","SAC","","","",""
"14825-58661","SG","Rashad","Vaughn","5.231372549019608","51","3500","HOU@MIL","MIL","HOU","","","",""
"14825-16183","SF","Jakarr","Sampson","9.064","50","3500","MEM@DEN","DEN","MEM","","","",""
"14825-16443","PF","Duje","Dukan","0","0","3500","OKC@SAC","SAC","OKC","","","",""
"14825-15727","SG","Ben","McLemore","12.184905660377357","53","3500","OKC@SAC","SAC","OKC","","","",""
"14825-9955","SG","Marcus","Thornton","15.808510638297872","47","3500","HOU@MIL","HOU","MIL","","","",""
"14825-16202","PF","Rakeem","Christmas","0","0","3500","IND@CLE","IND","CLE","","","",""
"14825-9962","PF","Jonas","Jerebko","9.63728813559322","59","3500","UTA@BOS","BOS","UTA","","","",""
"14825-9964","PG","Ty","Lawson","13.448076923076922","52","3500","HOU@MIL","HOU","MIL","","","",""
"14825-58153","SF","Kelly","Oubre","6.885416666666667","48","3500","PHI@WAS","WAS","PHI","","","",""
"14825-15736","C","Jeff","Withey","12.482499999999998","40","3500","UTA@BOS","UTA","BOS","","","",""
"14825-15730","PF","Thomas","Robinson","9.920754716981131","53","3500","BKN@LAC","BKN","LAC","","","",""
"14825-9449","PF","Josh","Smith","14.304255319148934","47","3500","HOU@MIL","HOU","MIL","","","",""
"14825-9942","SF","Chase","Budinger","9.610869565217392","46","3500","IND@CLE","IND","CLE","","","",""
"14825-9941","PF","Jeff","Ayres","3.5200000000000005","5","3500","BKN@LAC","LAC","BKN","","","",""
"14825-9459","SF","Paul","Pierce","11.303846153846154","52","3500","BKN@LAC","LAC","BKN","GTD","Personal","",""
"14825-17462","SG","Chris","Johnson","7.851020408163265","49","3500","UTA@BOS","UTA","BOS","","","",""
"14825-59483","PF","Chris","McCullough","5.6","5","3500","BKN@LAC","BKN","LAC","","","",""
"14825-9503","PF","Drew","Gooden","8.040740740740741","27","3500","PHI@WAS","WAS","PHI","","","",""
"14825-9491","PF","J.J.","Hickson","14.133333333333335","21","3500","PHI@WAS","WAS","PHI","","","",""
"14825-15520","SG","Sean","Kilpatrick","4.8375","8","3500","BKN@LAC","BKN","LAC","","","",""
"14825-9484","PG","Mo","Williams","14.505714285714285","35","3500","IND@CLE","CLE","IND","GTD","Knee","",""
"14825-15532","SF","K.J.","McDaniels","2.9899999999999998","20","3500","HOU@MIL","HOU","MIL","","","",""
"14825-48567","PG","Cameron","Payne","11.225","40","3500","OKC@SAC","OKC","SAC","","","",""
"14825-9529","SG","Anthony","Morrow","7.9079999999999995","50","3500","OKC@SAC","OKC","SAC","","","",""
"14825-12354","C","Cole","Aldrich","13.516666666666667","36","3500","BKN@LAC","LAC","BKN","","","",""
"14825-12353","C","Tibor","Pleiss","3.5833333333333335","12","3500","UTA@BOS","UTA","BOS","","","",""
"14825-14549","PF","Lavoy","Allen","14.813793103448276","58","3500","IND@CLE","IND","CLE","","","",""
"14825-16063","PF","Eric","Moreland","3.84","5","3500","OKC@SAC","SAC","OKC","O","Foot","",""
"14825-12364","SG","James","Anderson","4.83030303030303","33","3500","OKC@SAC","SAC","OKC","","","",""
"14825-41063","PF","Jordan","Mickey","3.8833333333333333","6","3500","UTA@BOS","BOS","UTA","","","",""
"14825-12360","SG","Elliot","Williams","3.56","5","3500","MEM@DEN","MEM","DEN","","","",""
"14825-9513","C","Chris","Andersen","6.4750000000000005","12","3500","MEM@DEN","MEM","DEN","","","",""
"14825-14532","SF","Kyle","Singler","6.314583333333334","48","3500","OKC@SAC","OKC","SAC","","","",""
"14825-14533","PG","Shelvin","Mack","8.953571428571427","28","3500","UTA@BOS","UTA","BOS","","","",""
"14825-14530","SF","Bojan","Bogdanovic","14.50508474576271","59","3500","BKN@LAC","BKN","LAC","","","",""
"14825-22647","SF","J.J.","O'Brien","1.6","2","3500","UTA@BOS","UTA","BOS","","","",""
"14825-21665","SG","Alan","Anderson","12.033333333333333","3","3500","PHI@WAS","WAS","PHI","","","",""
"14825-14515","SG","Iman","Shumpert","14.363636363636363","33","3500","IND@CLE","CLE","IND","","","",""
"14825-14519","PF","Donatas","Motiejunas","8.58","15","3500","HOU@MIL","HOU","MIL","","","",""
"14825-12350","PF","Trevor","Booker","16.35892857142857","56","3500","UTA@BOS","UTA","BOS","O","Personal","",""
"14825-9539","PF","Carl","Landry","10.870588235294118","17","3500","PHI@WAS","PHI","WAS","","","",""
"14825-15417","SG","Solomon","Hill","7.669444444444445","36","3500","IND@CLE","IND","CLE","","","",""
"14825-42671","SF","James","Young","3.3227272727272723","22","3500","UTA@BOS","BOS","UTA","","","",""
"14825-18828","SG","Joseph","Young","7.572727272727273","33","3500","IND@CLE","IND","CLE","","","",""
"14825-23799","PF","Mitch","McGary","2.6411764705882352","17","3500","OKC@SAC","OKC","SAC","","","",""
"14825-23801","SG","Nik","Stauskas","13.456603773584906","53","3500","PHI@WAS","PHI","WAS","","","",""
"14825-23800","SF","Glenn","Robinson III","7.253846153846153","39","3500","IND@CLE","IND","CLE","","","",""
"14825-23776","PF","Montrezl","Harrell","6.719354838709678","31","3500","HOU@MIL","HOU","MIL","","","",""
"14825-42677","PG","Terry","Rozier","2.9666666666666663","21","3500","UTA@BOS","BOS","UTA","","","",""
"14825-9611","PF","Ryan","Hollins","7.935714285714285","14","3500","MEM@DEN","MEM","DEN","","","",""
"14825-11074","SG","Garrett","Temple","14.987499999999999","56","3500","PHI@WAS","WAS","PHI","","","",""
"14825-9649","PF","Nick","Collison","6.943749999999999","48","3500","OKC@SAC","OKC","SAC","","","",""
"14825-40819","PF","Jarell","Martin","0.6666666666666666","3","3500","MEM@DEN","MEM","DEN","","","",""
"14825-15961","C","Tyler","Zeller","9.476190476190476","42","3500","UTA@BOS","BOS","UTA","","","",""
