playerid,gameid,month,day,year,time,ownTeam,otherTeam,away/home,lastgame-scoreDiff,lastgame-position,lastgame-mins,lastgame-fgm,lastgame-fga,lastgame-3pm,lastgame-3pa,lastgame-ftm,lastgame-fta,lastgame-dreb,lastgame-oreb,lastgame-reb,lastgame-ast,lastgame-stl,lastgame-blk,lastgame-to,lastgame-pf,lastgame+/-,lastgame-pts,last2games-scoreDiff,last2games-position,last2games-mins,last2games-fgm,last2games-fga,last2games-3pm,last2games-3pa,last2games-ftm,last2games-fta,last2games-dreb,last2games-oreb,last2games-reb,last2games-ast,last2games-stl,last2games-blk,last2games-to,last2games-pf,last2games+/-,last2games-pts,last3games-scoreDiff,last3games-position,last3games-mins,last3games-fgm,last3games-fga,last3games-3pm,last3games-3pa,last3games-ftm,last3games-fta,last3games-dreb,last3games-oreb,last3games-reb,last3games-ast,last3games-stl,last3games-blk,last3games-to,last3games-pf,last3games+/-,last3games-pts,last5games-scoreDiff,last5games-position,last5games-mins,last5games-fgm,last5games-fga,last5games-3pm,last5games-3pa,last5games-ftm,last5games-fta,last5games-dreb,last5games-oreb,last5games-reb,last5games-ast,last5games-stl,last5games-blk,last5games-to,last5games-pf,last5games+/-,last5games-pts,last10games-scoreDiff,last10games-position,last10games-mins,last10games-fgm,last10games-fga,last10games-3pm,last10games-3pa,last10games-ftm,last10games-fta,last10games-dreb,last10games-oreb,last10games-reb,last10games-ast,last10games-stl,last10games-blk,last10games-to,last10games-pf,last10games+/-,last10games-pts,last20games-scoreDiff,last20games-position,last20games-mins,last20games-fgm,last20games-fga,last20games-3pm,last20games-3pa,last20games-ftm,last20games-fta,last20games-dreb,last20games-oreb,last2games-reb,last20games-ast,last20games-stl,last20games-blk,last20games-to,last20games-pf,last20games+/-,last20games-pts,season-scoreDiff,season-position,season-mins,season-fgm,season-fga,season-3pm,season-3pa,season-ftm,season-fta,season-dreb,season-oreb,season-reb,season-ast,season-stl,season-blk,season-to,season-pf,season+/-,season-pts
1006,400828386,1,2,2016,7.5,7,14,1,6,3,13,0,1,0,1,0,1,0,0,0,0,0,1,0,1,-4,0,5.0,3.0,16.0,1.0,2.5,1.0,2.5,1.0,2.5,0.0,0.5,0.5,0.0,0.5,2.5,0.5,1.0,-4.0,3.5,-6.333333333333333,3.0,19.333333333333332,1.6666666666666667,3.6666666666666665,1.3333333333333333,3.0,1.6666666666666667,3.6666666666666665,0.0,1.0,1.0,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,-3.0,5.666666666666667,-3.6,3.0,12.4,1.0,2.2,0.8,1.8,1.0,2.2,0.0,0.8,0.8,0.0,0.4,1.0,0.4,1.0,-1.4,3.4,6.0,3.0,17.1,1.9,3.6,1.3,2.5,1.9,3.6,0.0,1.1,1.1,0.5,0.4,0.5,0.7,1.3,-1.1,5.4,3.3,3.0,19.0,2.05,4.75,0.8,2.4,2.05,4.75,0.15,1.2,1.35,0.95,0.5,0.45,0.65,1.5,-1.85,5.45,3.7037037037037037,3.0,21.48148148148148,2.259259259259259,5.185185185185185,0.9259259259259259,2.6666666666666665,2.259259259259259,5.185185185185185,0.18518518518518517,1.2962962962962963,1.4814814814814814,0.9629629629629629,0.5555555555555556,0.37037037037037035,0.6666666666666666,1.8888888888888888,-2.259259259259259,6.222222222222222
1006,400828398,1,4,2016,7.0,7,5,1,25,3,19,2,5,2,4,2,5,0,0,0,1,1,0,0,3,-3,6,15.5,3.0,16.0,1.0,3.0,1.0,2.5,1.0,3.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,2.0,-3.5,3.0,11.666666666666666,3.0,17.0,1.3333333333333333,3.3333333333333335,1.3333333333333333,3.0,1.3333333333333333,3.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,-3.6666666666666665,4.333333333333333,0.0,3.0,15.4,1.4,3.2,1.2,2.6,1.4,3.2,0.0,0.6,0.6,0.2,0.6,1.0,0.4,1.6,-2.4,4.6,8.0,3.0,17.0,1.8,3.5,1.4,2.6,1.8,3.5,0.0,1.1,1.1,0.4,0.5,0.5,0.7,1.4,-2.2,5.3,4.8,3.0,19.15,2.15,4.85,0.9,2.5,2.15,4.85,0.15,1.15,1.3,0.95,0.55,0.45,0.6,1.6,-2.4,5.75,4.464285714285714,3.0,21.392857142857142,2.25,5.178571428571429,0.9642857142857143,2.7142857142857144,2.25,5.178571428571429,0.17857142857142858,1.25,1.4285714285714286,0.9642857142857143,0.5714285714285714,0.35714285714285715,0.6428571428571429,1.9285714285714286,-2.2857142857142856,6.214285714285714
1006,400828414,1,6,2016,7.0,7,15,0,22,3,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,23.5,3.0,12.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,-1.0,3.0,17.666666666666668,3.0,12.333333333333334,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,-2.0,2.0,5.6,3.0,16.4,1.4,3.4,1.2,2.6,1.4,3.4,0.0,0.6,0.6,0.2,0.6,1.0,0.4,1.8,-2.2,4.6,6.7,3.0,16.2,1.7,3.5,1.3,2.5,1.7,3.5,0.0,0.8,0.8,0.4,0.3,0.5,0.4,1.4,-1.5,5.0,5.15,3.0,18.6,2.1,4.65,0.9,2.45,2.1,4.65,0.15,1.15,1.3,0.9,0.5,0.4,0.55,1.5,-2.6,5.65,5.068965517241379,3.0,20.82758620689655,2.1724137931034484,5.0344827586206895,0.9310344827586207,2.6206896551724137,2.1724137931034484,5.0344827586206895,0.1724137931034483,1.206896551724138,1.3793103448275863,0.9310344827586207,0.5517241379310345,0.3448275862068966,0.6206896551724138,1.896551724137931,-2.1724137931034484,6.0
1006,400828430,1,8,2016,8.0,7,27,0,6,3,5,0,0,0,0,0,0,0,2,2,0,0,0,0,1,-3,0,14.0,3.0,5.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,17.666666666666668,3.0,9.666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,-1.6666666666666667,2.0,12.6,3.0,12.2,0.8,2.2,0.8,1.8,0.8,2.2,0.0,0.6,0.6,0.2,0.4,1.0,0.2,1.4,-2.6,2.6,6.1,3.0,14.6,1.5,3.2,1.2,2.4,1.5,3.2,0.0,0.9,0.9,0.3,0.3,0.5,0.3,1.5,-1.4,4.5,4.85,3.0,17.65,1.9,4.35,0.9,2.35,1.9,4.35,0.15,1.2,1.35,0.75,0.5,0.35,0.5,1.45,-2.9,5.25,5.1,3.0,20.3,2.1,4.866666666666666,0.9,2.533333333333333,2.1,4.866666666666666,0.16666666666666666,1.2333333333333334,1.4,0.9,0.5333333333333333,0.3333333333333333,0.6,1.8666666666666667,-2.2,5.8
1006,400828446,1,10,2016,6.0,7,4,0,26,3,16,0,1,0,1,0,1,0,0,0,4,1,0,1,4,5,2,16.0,3.0,10.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,2.0,0.5,0.0,0.5,2.5,1.0,1.0,18.0,3.0,8.666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,1.0,0.6666666666666666,17.0,3.0,11.6,0.4,1.6,0.4,1.2,0.4,1.6,0.0,0.4,0.4,1.0,0.4,0.2,0.2,2.0,-0.8,1.6,8.3,3.0,13.0,1.0,2.4,0.9,1.9,1.0,2.4,0.0,0.7,0.7,0.6,0.4,0.5,0.3,1.7,-1.8,3.4,5.45,3.0,17.5,1.75,4.15,0.9,2.4,1.75,4.15,0.15,1.15,1.3,0.85,0.55,0.35,0.5,1.6,-2.05,5.0,5.774193548387097,3.0,20.161290322580644,2.032258064516129,4.741935483870968,0.8709677419354839,2.4838709677419355,2.032258064516129,4.741935483870968,0.16129032258064516,1.1935483870967742,1.3548387096774193,1.0,0.5483870967741935,0.3225806451612903,0.6129032258064516,1.935483870967742,-1.967741935483871,5.67741935483871
1006,400828477,1,14,2016,8.0,7,25,0,10,3,13,1,2,0,0,1,2,0,1,1,0,0,0,0,1,-8,3,18.0,3.0,14.5,0.5,1.5,0.0,0.5,0.5,1.5,0.0,0.5,0.5,2.0,0.5,0.0,0.5,2.5,-1.5,2.5,14.0,3.0,11.333333333333334,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,-2.0,1.6666666666666667,17.8,3.0,11.6,0.6,1.8,0.4,1.0,0.6,1.8,0.0,0.6,0.6,1.0,0.4,0.0,0.2,2.0,-1.6,2.2,7.1,3.0,12.0,0.8,2.0,0.6,1.4,0.8,2.0,0.0,0.7,0.7,0.5,0.4,0.5,0.3,1.5,-1.5,2.8,6.15,3.0,17.35,1.7,4.0,0.9,2.35,1.7,4.0,0.15,1.1,1.25,0.85,0.55,0.35,0.5,1.6,-1.65,4.95,5.90625,3.0,19.9375,2.0,4.65625,0.84375,2.40625,2.0,4.65625,0.15625,1.1875,1.34375,0.96875,0.53125,0.3125,0.59375,1.90625,-2.15625,5.59375
1006,400828509,1,18,2016,8.0,7,16,1,-4,3,11,0,3,0,2,0,3,1,1,2,0,0,1,0,0,-12,0,3.0,3.0,12.0,0.5,2.5,0.0,1.0,0.5,2.5,0.5,1.0,1.5,0.0,0.0,0.5,0.0,0.5,-10.0,1.5,10.666666666666666,3.0,13.333333333333334,0.3333333333333333,2.0,0.0,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,-5.0,1.6666666666666667,12.0,3.0,10.0,0.2,1.4,0.0,0.6,0.2,1.4,0.2,0.8,1.0,0.8,0.2,0.2,0.2,1.4,-3.4,1.0,6.0,3.0,12.7,0.8,2.3,0.6,1.6,0.8,2.3,0.1,0.7,0.8,0.5,0.4,0.6,0.3,1.5,-2.9,2.8,5.7,3.0,16.4,1.5,3.75,0.8,2.2,1.5,3.75,0.2,1.1,1.3,0.8,0.55,0.4,0.45,1.5,-2.95,4.3,5.606060606060606,3.0,19.666666666666668,1.9393939393939394,4.606060606060606,0.8181818181818182,2.393939393939394,1.9393939393939394,4.606060606060606,0.18181818181818182,1.1818181818181819,1.3636363636363635,0.9393939393939394,0.5151515151515151,0.3333333333333333,0.5757575757575758,1.8484848484848484,-2.4545454545454546,5.424242424242424
1007,400828382,1,2,2016,3.0,2,1,0,-7,3,34,3,8,1,5,3,8,1,2,3,0,1,0,1,1,-11,7,-0.5,3.0,34.5,2.0,7.0,1.0,4.5,2.0,7.0,1.5,3.0,4.5,2.0,0.5,0.0,1.5,2.0,-4.0,5.5,-5.333333333333333,3.0,35.333333333333336,2.3333333333333335,8.0,1.0,4.333333333333333,2.3333333333333335,8.0,1.0,3.0,4.0,1.6666666666666667,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,-6.333333333333333,6.666666666666667,-2.8,3.0,36.0,3.6,11.0,1.2,5.0,3.6,11.0,0.8,3.2,4.0,3.2,0.8,0.0,1.4,2.2,-4.2,9.0,-7.0,3.0,33.9,3.4,10.7,1.4,4.1,3.4,10.7,0.8,2.7,3.5,3.7,0.7,0.0,1.6,2.2,-5.8,8.8,-5.5,3.0,34.1,3.7,10.35,1.35,4.05,3.7,10.35,0.75,2.8,3.55,3.35,0.9,0.0,2.2,2.05,-3.8,9.95,-5.172413793103448,3.0,35.03448275862069,3.9655172413793105,11.206896551724139,1.3103448275862069,4.275862068965517,3.9655172413793105,11.206896551724139,0.7241379310344828,3.310344827586207,4.0344827586206895,4.0,0.8275862068965517,0.034482758620689655,2.0344827586206895,1.8620689655172413,-2.8620689655172415,10.793103448275861
1007,400828400,1,4,2016,7.5,2,1,1,3,3,39,9,19,2,7,9,19,0,1,1,2,0,0,3,2,-1,20,-2.0,3.0,36.5,6.0,13.5,1.5,6.0,6.0,13.5,0.5,1.5,2.0,1.0,0.5,0.0,2.0,1.5,-6.0,13.5,0.6666666666666666,3.0,36.0,4.333333333333333,11.0,1.3333333333333333,5.333333333333333,4.333333333333333,11.0,1.0,2.3333333333333335,3.3333333333333335,2.0,0.3333333333333333,0.0,2.0,2.0,-3.0,10.333333333333334,-2.8,3.0,36.4,4.4,11.8,1.2,5.2,4.4,11.8,0.8,2.8,3.6,2.6,0.4,0.0,2.0,2.0,-4.8,10.6,-6.2,3.0,34.2,3.7,11.2,1.4,4.2,3.7,11.2,0.7,2.5,3.2,3.6,0.7,0.0,1.7,2.3,-6.2,9.3,-4.1,3.0,35.15,4.1,11.05,1.4,4.3,4.1,11.05,0.75,2.75,3.5,3.4,0.9,0.0,2.35,2.15,-2.9,10.8,-4.9,3.0,35.166666666666664,4.133333333333334,11.466666666666667,1.3333333333333333,4.366666666666666,4.133333333333334,11.466666666666667,0.7,3.2333333333333334,3.933333333333333,3.933333333333333,0.8,0.03333333333333333,2.066666666666667,1.8666666666666667,-2.8,11.1
1007,400828416,1,6,2016,7.5,2,5,1,-9,3,35,8,15,2,4,8,15,4,2,6,4,0,0,2,3,-4,21,-3.0,3.0,37.0,8.5,17.0,2.0,5.5,8.5,17.0,2.0,1.5,3.5,3.0,0.0,0.0,2.5,2.5,-2.5,20.5,-4.333333333333333,3.0,36.0,6.666666666666667,14.0,1.6666666666666667,5.333333333333333,6.666666666666667,14.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,2.0,0.3333333333333333,0.0,2.0,2.0,-5.333333333333333,16.0,-4.4,3.0,36.0,4.8,11.6,1.4,4.8,4.8,11.6,1.4,2.4,3.8,2.2,0.2,0.0,2.0,2.0,-4.8,12.2,-4.8,3.0,35.1,4.3,11.9,1.4,4.2,4.3,11.9,1.0,2.5,3.5,3.5,0.7,0.0,1.7,2.3,-5.0,10.8,-5.05,3.0,35.1,4.25,11.3,1.35,4.2,4.25,11.3,0.95,2.65,3.6,3.4,0.85,0.0,2.3,2.15,-4.2,11.0,-5.032258064516129,3.0,35.16129032258065,4.258064516129032,11.580645161290322,1.3548387096774193,4.354838709677419,4.258064516129032,11.580645161290322,0.8064516129032258,3.193548387096774,4.0,3.935483870967742,0.7741935483870968,0.03225806451612903,2.064516129032258,1.903225806451613,-2.838709677419355,11.419354838709678
