mins,fgm,fga,3pm,3pa,ftm,fta,dreb,oreb,reb,ast,stl,blk,to,pf,+/-,pts
9,0,2,0,0,0,2,1,5,6,0,0,0,1,4,-13,0
24,7,14,0,0,7,14,4,3,7,3,1,0,2,1,10,19
29,8,14,0,0,8,14,4,6,10,2,2,3,2,4,-6,19
12,3,5,0,0,3,5,3,1,4,1,1,1,0,4,2,8
15,4,9,0,0,4,9,2,2,4,3,0,1,0,3,6,11
18,4,6,0,0,4,6,1,4,5,0,1,1,1,2,4,12
11,1,2,0,0,1,2,0,1,1,0,0,1,1,3,-26,2
7,0,1,0,0,0,1,0,2,2,0,0,0,0,1,6,0
14,1,4,0,0,1,4,2,2,4,1,0,2,1,2,11,3
13,1,1,0,0,1,1,0,4,4,1,0,1,0,2,-7,6
5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,3,0,0,2,3,0,2,2,0,0,1,0,0,12,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,0,3,3,0,0,0,1,2,5,3
5,0,2,0,0,0,2,0,0,0,0,1,0,0,2,-2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,3,0,3,0,3,0,0,0,0,0,0,0,0,-2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,1,0,1,0,0,0,0,0,0,1,1,-3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
10,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-20,0
4,0,1,0,0,0,1,1,1,2,1,0,0,0,0,8,0
15,0,1,0,0,0,1,0,1,1,1,0,0,2,3,-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,7,2,4,3,7,0,1,1,2,0,1,0,1,-11,9
24,1,4,1,3,1,4,1,4,5,2,0,1,3,3,-5,3
22,2,4,2,4,2,4,0,4,4,2,0,1,0,0,0,6
39,4,10,3,5,4,10,0,2,2,5,2,0,1,2,-3,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,7,1,2,4,7,0,4,4,4,1,0,0,1,8,15
26,1,5,0,3,1,5,0,2,2,2,0,1,2,5,-10,4
22,4,6,2,4,4,6,0,0,0,0,1,0,2,0,-26,10
15,1,6,0,4,1,6,1,0,1,1,0,0,1,0,4,2
26,2,6,0,0,2,6,1,4,5,6,3,0,4,1,-1,4
42,5,15,2,3,5,15,1,8,9,7,3,2,6,5,7,15
26,3,8,1,2,3,8,0,6,6,4,0,2,1,4,9,9
25,3,5,0,0,3,5,1,2,3,0,2,0,1,1,20,7
35,4,11,0,2,4,11,4,8,12,5,2,0,4,3,-3,11
33,9,12,0,0,9,12,0,4,4,5,2,2,4,4,-2,19
38,2,8,0,1,2,8,0,2,2,5,1,0,3,5,4,5
27,4,7,0,2,4,7,1,5,6,1,0,0,3,2,-11,10
26,4,9,0,1,4,9,1,7,8,6,2,0,2,5,-2,9
15,2,4,2,4,2,4,0,3,3,0,0,0,2,1,-15,6
4,1,1,1,1,1,1,0,2,2,0,0,0,0,0,8,3
14,1,4,1,3,1,4,0,0,0,0,1,0,1,1,2,3
17,4,7,3,5,4,7,0,2,2,0,0,0,1,1,5,11
32,7,15,3,5,7,15,2,1,3,2,0,1,1,4,20,17
9,2,5,1,3,2,5,0,0,0,0,0,0,0,4,0,5
31,10,15,8,11,10,15,2,5,7,0,0,0,0,2,-2,28
22,2,7,0,2,2,7,0,1,1,0,0,0,5,3,-22,5
8,2,2,1,1,2,2,0,0,0,0,0,0,2,2,-4,5
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,4,8,3,6,4,8,1,3,4,5,5,1,0,1,-11,11
28,2,8,1,4,2,8,1,5,6,5,0,1,1,4,15,5
34,2,8,1,5,2,8,1,2,3,3,0,1,0,3,1,12
29,6,10,3,5,6,10,0,3,3,1,0,0,0,1,-13,18
29,4,6,1,1,4,6,1,1,2,3,1,0,0,0,18,11
23,0,7,0,4,0,7,0,4,4,1,0,0,0,2,-7,2
34,3,8,2,5,3,8,0,1,1,0,0,0,1,3,-6,8
38,7,16,5,10,7,16,1,4,5,3,1,0,0,3,-3,20
34,5,14,1,7,5,14,0,4,4,4,1,0,0,6,3,11
26,1,6,1,3,1,6,1,0,1,2,0,0,1,0,-9,4
20,5,9,2,4,5,9,0,2,2,4,1,0,3,4,-10,13
25,3,6,1,1,3,6,0,0,0,2,2,0,1,3,14,8
22,2,8,2,6,2,8,0,0,0,3,0,0,0,1,4,8
22,2,5,1,1,2,5,2,0,2,3,0,0,0,1,-3,5
25,5,6,0,1,5,6,0,2,2,2,0,0,1,3,15,10
6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,-6,0
20,0,7,0,4,0,7,0,1,1,2,0,0,1,3,-6,0
25,3,5,1,1,3,5,0,1,1,6,0,0,1,0,-2,9
22,4,8,1,2,4,8,1,3,4,3,0,0,2,1,8,10
16,3,4,2,3,3,4,0,2,2,7,0,0,3,1,5,9
13,1,5,0,3,1,5,0,1,1,0,0,0,0,2,-11,2
35,8,22,2,10,8,22,0,3,3,11,1,0,6,1,-7,27
38,2,10,0,5,2,10,0,5,5,5,3,1,8,5,-2,11
27,10,17,4,7,10,17,0,3,3,5,0,0,2,1,10,31
40,5,12,2,7,5,12,0,3,3,8,0,0,3,4,-15,20
36,9,22,3,7,9,22,2,15,17,14,1,0,6,5,-11,33
34,9,15,5,8,9,15,0,5,5,8,2,0,2,2,9,30
36,7,18,3,10,7,18,2,13,15,10,0,2,2,1,10,23
28,5,10,1,3,5,10,1,2,3,2,0,1,5,1,-23,20
