Chris Paul: [32.83 mins, 7.10/15.02 fg, 1.83/5.67 3p, 4.05/5.82 ft, 0.95 dreb, 3.72 oreb, 4.49 reb, 8.45 ast, 1.81 stl, 0.16 blk, 2.31 TO, 2.24 PF, 2.19 +/-, 20.07 pts] FANDUEL: 39.75, PG, 9900, 41.40
Eric Moreland: [2.35 mins, 0.25/0.49 fg, 0.02/0.02 3p, 0.00/0.21 ft, 0.31 dreb, 0.24 oreb, 0.47 reb, 0.05 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.44 PF, -0.38 +/-, 0.57 pts] FANDUEL: 1.37, PF, 3500, 3.84
Dante Cunningham: [27.42 mins, 3.07/6.18 fg, 0.78/2.75 3p, 1.16/1.08 ft, 0.79 dreb, 2.91 oreb, 3.65 reb, 1.49 ast, 0.47 stl, 0.66 blk, 0.81 TO, 2.24 PF, -1.64 +/-, 7.67 pts] FANDUEL: 15.76, PF, 3500, 11.12
Langston Galloway: [25.04 mins, 3.15/7.83 fg, 1.37/2.75 3p, 1.28/1.74 ft, 0.90 dreb, 2.85 oreb, 3.72 reb, 2.61 ast, 0.69 stl, 0.25 blk, 0.94 TO, 2.24 PF, -0.27 +/-, 8.53 pts] FANDUEL: 17.83, SG, 3800, 17.12
Anthony Davis: [28.67 mins, 8.05/17.57 fg, 0.78/1.77 3p, 4.78/4.76 ft, 1.96 dreb, 6.05 oreb, 8.43 reb, 2.07 ast, 0.16 stl, 1.37 blk, 2.31 TO, 2.65 PF, -2.49 +/-, 23.61 pts] FANDUEL: 37.59, PF, 10100, 44.14
Tyler Ennis: [18.22 mins, 2.37/5.40 fg, 0.12/1.29 3p, 0.83/7.33 ft, 0.61 dreb, 1.78 oreb, 2.19 reb, 1.88 ast, 0.74 stl, 0.16 blk, 0.81 TO, 1.42 PF, -1.66 +/-, 6.05 pts] FANDUEL: 12.47, PG, 3700, 6.69
Pablo Prigioni: [7.09 mins, 0.70/1.33 fg, 0.36/0.78 3p, 0.19/0.21 ft, 0.33 dreb, 0.70 oreb, 0.92 reb, 0.79 ast, 0.10 stl, 0.04 blk, 0.26 TO, 0.16 PF, -0.06 +/-, 1.83 pts] FANDUEL: 4.15, PG, 3500, 7.88
Elton Brand: [7.63 mins, 1.13/2.49 fg, 0.02/0.02 3p, 0.41/0.42 ft, 0.37 dreb, 0.98 oreb, 1.22 reb, 0.81 ast, 0.24 stl, 0.11 blk, 0.13 TO, 2.08 PF, -0.54 +/-, 3.06 pts] FANDUEL: 6.31, PF, 3500, 10.07
Jeff Withey: [4.10 mins, 0.44/1.07 fg, 0.02/0.02 3p, 0.08/0.21 ft, 0.41 dreb, 0.61 oreb, 0.99 reb, 0.23 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, 1.19 +/-, 1.11 pts] FANDUEL: 2.81, C, 3500, 11.61
Tibor Pleiss: [2.73 mins, 0.42/0.68 fg, 0.02/0.02 3p, 0.08/0.21 ft, 0.26 dreb, 0.41 oreb, 0.53 reb, 0.10 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, 1.83 +/-, 1.03 pts] FANDUEL: 1.98, C, 3500, 3.58
Tim Frazier: [16.68 mins, 2.00/4.39 fg, 0.17/0.46 3p, 0.75/7.33 ft, 0.50 dreb, 1.64 oreb, 1.99 reb, 2.30 ast, 0.74 stl, 0.11 blk, 0.88 TO, 1.42 PF, -1.40 +/-, 4.95 pts] FANDUEL: 11.60, PG, 3500, 5.61
Arron Afflalo: [33.74 mins, 4.97/10.92 fg, 1.45/3.61 3p, 2.24/1.98 ft, 0.90 dreb, 3.59 oreb, 4.40 reb, 2.63 ast, 0.47 stl, 0.16 blk, 1.27 TO, 2.07 PF, -0.86 +/-, 13.72 pts] FANDUEL: 22.94, SG, 4900, 21.27
Marco Belinelli: [18.92 mins, 3.21/7.32 fg, 1.45/2.52 3p, 1.40/1.08 ft, 0.46 dreb, 1.62 oreb, 1.90 reb, 1.39 ast, 0.54 stl, 0.11 blk, 0.81 TO, 0.97 PF, -0.84 +/-, 9.02 pts] FANDUEL: 13.87, SG, 3500, 15.12
Cleanthony Early: [3.32 mins, 0.33/0.68 fg, 0.36/0.46 3p, 0.06/0.21 ft, 0.29 dreb, 0.18 oreb, 0.33 reb, 0.08 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, -0.24 +/-, 0.74 pts] FANDUEL: 1.42, SF, 3500, 1.39
John Henson: [14.75 mins, 2.12/4.11 fg, 0.02/0.02 3p, 1.04/0.98 ft, 0.74 dreb, 2.32 oreb, 3.10 reb, 1.20 ast, 0.54 stl, 1.12 blk, 0.88 TO, 4.00 PF, 0.08 +/-, 5.56 pts] FANDUEL: 13.51, PF, 3600, 16.02
Alonzo Gee: [25.21 mins, 2.30/4.41 fg, 0.17/0.46 3p, 0.73/1.08 ft, 0.94 dreb, 3.28 oreb, 4.24 reb, 1.73 ast, 0.69 stl, 0.16 blk, 0.88 TO, 2.24 PF, -1.41 +/-, 5.33 pts] FANDUEL: 13.82, SF, 3600, 10.89
